synthetic_case,noise_level,a_true,a_hat,b_true,b_hat,a_relative_error_percent,b_relative_error_percent
0,0.0,2.115725282545138,2.103569507598877,0.3694392198760261,0.3629821216495671,0.5745441077131676,1.7478107031045163
1,0.0,2.2069729923873895,2.1943132877349854,0.4658321995610324,0.45816033408636514,0.573622998381578,1.6469160959454239
2,0.0,1.0208665590703019,1.0207377672195435,0.38785246311296684,0.38770396648027494,0.012615933944953124,0.03828688659085436
3,0.0,1.580156818415178,1.5801568031311035,0.43437059797644684,0.43437046764592235,9.672504825081103e-07,3.00044535912196e-05
4,0.0,0.8991146608714122,0.9141008853912354,0.29069194601099824,0.3066659604609475,1.6667756819023098,5.495169257061188
5,0.0,1.5584656684758522,1.5584654808044434,0.34051061304824126,0.3405105008682173,1.2042062437045545e-05,3.2944648312875296e-05
6,0.0,1.574819692717139,1.574796199798584,0.2511816823976152,0.2511690767583914,0.0014917846572285551,0.00501853443430219
7,0.0,0.9757850451283379,0.9712123870849609,0.443822286088856,0.43773962374128605,0.4686132531141131,1.3705175558381373
8,0.0,1.3636672954823388,1.363667368888855,0.41033620123576886,0.4103362019725856,5.383022416252245e-06,1.7956415167132925e-07
9,0.0,1.4305678825661459,1.430221676826477,0.5648948715662065,0.5645185746170064,0.024200581034140953,0.06661362461246181
10,0.0,1.3370793881123482,1.3351750373840332,0.536006216055494,0.533877145756649,0.14242615249670948,0.39721000150203245
11,0.0,1.651260016543982,1.6509168148040771,0.22194875127562538,0.2217891123561514,0.020784233643776504,0.07192602731778396
12,0.0,1.9268691616980902,1.926869511604309,0.6278116285234849,0.6278119451489738,1.8159313867473275e-05,5.043319913845147e-05
13,0.0,2.2100286453006515,2.202697515487671,0.5484085441625809,0.5433889658747534,0.3317210312440651,0.9152990669560771
14,0.0,2.2019291237757805,2.177034854888916,0.30516733696203724,0.2942218893353009,1.1305663119699703,3.586703523286287
15,0.0,2.2469237655977503,2.2161364555358887,0.17173753100639597,0.16322982491512564,1.3701982476326373,4.953900316031374
16,0.0,2.1242938027828195,2.1033709049224854,0.21727610420657353,0.2099119072804427,0.9849342794732652,3.389326660206212
17,0.0,1.304690006771185,1.2902631759643555,0.6244289633576702,0.6059986263471793,1.1057669432551855,2.951550631378079
18,0.0,2.0337165680614255,2.0204734802246094,0.1922466094117601,0.18780119268923473,0.6511766705740959,2.3123511702638355
19,0.0,2.0986697630111992,2.0967230796813965,0.5496223582560333,0.5482138238404949,0.09275796335911458,0.2562731290640672
0,0.05,1.0679398026624995,1.0732777118682861,0.22389168627109582,0.22510387252834113,0.49983240557927966,0.5414163774609992
1,0.05,1.8000385999476751,1.8222191333770752,0.4930481825527244,0.5173228230539406,1.2322254328348756,4.923380992002819
2,0.05,0.9537492358730257,0.900970458984375,0.5985166994483127,0.520429996270767,5.5338211453809505,13.046704168742934
